5А;5Б;11А
Русский язык;Русский язык;Информатика
Физическая культура;Физическая культура;Информатика
Физическая культура;Физическая культура;Химия
Английский язык;Английский язык;Математика
Литература;Литература;Математика
Математика;Математика;Литература
;;Литература
Английский язык 1 гр./Информатика 2 гр.;Английский язык;
Русский язык;Русский язык;Математика
Математика;Математика;Математика
Информатика 1 гр./Информатика 2 гр.;Информатика;История
Труд;Труд;Физика
Труд;Труд;Физика
;;
Русский язык;Русский язык;ОБЖ
Литература;Литература;Обществознание
Биология;Биология;Физическая культура
Математика;Математика;Литература
Математика;Математика;Английский язык
История;История;Физика
;;
Физическая культура;Физическая культура;Математика
Русский язык;Русский язык;Математика
ОДНКНР;ОДНКНР;Физическая культура
География;География;Английский язык
Русский язык;Русский язык;Проект
Математика;Математика;Информатика
Английский;Английский;Информатика
;;
Русский язык;Русский язык;Математика
Литература;Литература;Математика
Математика;Математика;Физика
История;История;Английский язык
Физика;Физика;Физика
Английский;Английский;Русский язык
;;Родной русский язык
ИЗО;ИЗО;
Музыка;Музыка;Физическая культура
;;История
;;География
;;Биология
;;Обществознание
;;